Noc,PredictedGold
AFG,0.011030882118152063
AIN,7.654913172717253
ALB,0.1834517838990103
ALG,0.7219489492925055
AND,0.04111137659613184
ANG,0.10895883088468705
ANT,0.0
ARG,6.023043909630004
ARM,0.7731305019751886
ARU,0.031449429401094076
ASA,0.0
AUS,26.028015591164085
AUT,0.7324095937088868
AZE,1.0985645373650899
BAH,1.709267618505742
BAN,0.017709667664460582
BAR,0.0
BDI,0.2636758136876455
BEL,5.99211695723994
BEN,0.011999534620913521
BER,0.2154105529867335
BHU,0.0
BIH,1.735571896338664
BIZ,0.0
BOL,0.07593387126630635
BOT,0.3272795270312613
BRA,11.382313703860607
BRN,0.0
BRU,1.3129393337509743
BUL,1.4731908001215859
BUR,0.024059951345015707
CAF,1.955055892079312
CAM,0.0
CAN,18.081135882427066
CAY,0.051142771088948824
CGO,1.7641986779166876
CHA,0.03022623990645612
CHI,0.17841649690871886
CHN,49.48771756894157
CIV,3.359083704218842
CMR,0.6819304680265175
COD,2.5346614718859706
COK,0.0
COL,1.7022797243353145
COM,0.0036726566961371443
CPV,3.1658459463183473
CRC,0.009111301380689385
CRO,8.484300124138313
CUB,6.976666966157522
CYP,0.16146416374353512
CZE,18.883866713170185
DEN,11.621497530091377
DJI,0.13451834267884
DMA,0.002667631031841422
DOM,1.8624588915928926
ECU,0.2142620420152106
EGY,2.445912041726967
EOR,8.631867568579036
ERI,0.0
ESA,0.0
ESP,8.552609764751432
EST,0.7549194124692734
ETH,1.2111112915832496
FIJ,4.532625108310066
FIN,2.46062367350627
FRA,87.22628007005439
FSM,1.1192486448629715
GAB,0.026086426875400637
GAM,0.049585008572532674
GBR,34.234797957926745
GBS,0.0
GEO,3.149416597040764
GEQ,0.0
GER,38.28763077912026
GHA,0.05847054478107383
GRE,2.0606481187658123
GRN,0.6074718573819238
GUA,0.0
GUI,0.6142088549644291
GUM,0.007886281225236047
GUY,0.01914376108214122
HAI,0.19494323669603036
HKG,0.9405113996701762
HON,0.0
HUN,18.504214227790364
INA,1.3012966393225827
IND,8.013013055394921
IRI,10.405488436480802
IRL,2.022015554640297
IRQ,0.559242901851415
ISL,0.0
ISR,2.39459801085739
ISV,2.3868587274124153
ITA,26.591151204005637
IVB,1.2508993233706673
JAM,5.395641903615054
JOR,0.2566097071972223
JPN,22.776247518332003
KAZ,3.56692837111216
KEN,4.9630752889773
KGZ,0.0
KIR,0.0
KOR,25.57417174441315
KOS,0.8095794657665614
KSA,0.09896221134394523
KUW,0.0
LAO,1.8576153439558558
LAT,0.6715450723407327
LBA,0.009309643941132428
LBN,0.12672276230195945
LBR,0.0
LCA,0.06744634042256814
LES,0.0
LIE,0.012085739718636579
LTU,0.5945000875905294
LUX,0.0
MAD,0.03357682509614668
MAR,0.8130352658454281
MAS,0.055212424912004066
MAW,0.0
MDA,5.695978405225606
MDV,0.029181553042557984
MEX,0.6111880149345494
MGL,0.43067442793408267
MHL,0.02318820239088315
MKD,0.0
MLI,0.6395767986685738
MLT,0.022133387092965195
MNE,0.0
MON,0.07461497264216932
MOZ,0.0
MRI,0.10659823039520988
MTN,0.0
MYA,8.52795376322657e-05
NAM,0.0
NCA,0.0
NED,20.520136883114592
NEP,0.0
NGR,2.865471572734768
NIG,0.02607365855262056
NOR,8.592296854424072
NRU,0.0
NZL,12.303595063544497
OMA,0.0
PAK,0.20291827595825307
PAN,0.22274640983754196
PAR,0.6799050822236746
PER,0.04466216395269618
PHI,0.8153876800036772
PLE,0.02224192129802738
PLW,0.03220025182427555
PNG,0.05978753236557288
POL,8.827111682476527
POR,0.6100620479010659
PRK,4.97500302153445
PUR,0.47094178212025106
QAT,0.053886911947587546
ROU,5.161110821721962
RSA,1.118560569579819
RWA,0.14152743617373476
SAM,0.44227083425741964
SEN,0.027077688052612348
SEY,0.0
SGP,0.25566690562456795
SKN,1.311088956739024
SLE,0.0
SLO,1.703832577549408
SMR,0.772505351296365
SOL,0.02468991395561415
SOM,0.0
SRB,8.348856192240817
SRI,0.09508758092771896
SSD,0.23025073952674013
STP,1.9164367617765732
SUD,0.004524667428326912
SUI,4.467734160993777
SUR,0.13050111001656717
SVK,0.12019455653577482
SWE,5.131839757130427
SWZ,0.0
SYR,0.1628584402592157
TAN,0.0
TGA,0.0
THA,1.6515770749781322
TJK,0.20695479234069813
TKM,0.09175763601992881
TLS,1.855712835854474
TOG,0.025452519807669716
TPE,0.7848789838910006
TTO,0.8285592322528202
TUN,0.19628316929433898
TUR,15.697975058575256
TUV,0.0
UAE,3.4612437357169
UGA,0.8805127414565577
UKR,6.375254932131395
URU,1.4955257152425505
USA,182.09809530913432
UZB,3.179475920037041
VAN,0.05855648677501568
VEN,0.28467707433528955
VIE,0.12801803943318402
VIN,1.25377135293513
YEM,0.0
ZAM,0.11475767109303531
ZIM,0.5760090931530427
